id,mission_id,route_name,status,started_at,finished_at,payload,created_at,robot_id,total_distance_m,cpu_samples,battery_samples,temperature_samples,ram_samples
1,patrol_a8889179,point_POINT,DONE,1777453615,1777453857,"{""mission_id"": ""patrol_a8889179"", ""robot_id"": ""robot-a"", ""route_name"": ""point_POINT"", ""points"": [""POINT""], ""wait_sec_per_point"": 0, ""max_retry_per_point"": 1, ""skip_on_fail"": true, ""status"": ""DONE"", ""current_index"": 0, ""started_at"": 1777453614.9759657, ""finished_at"": 1777453856.598704, ""results"": [{""point"": ""POINT"", ""status"": ""SKIPPED"", ""attempts"": 2, ""started_at"": 1777453735.897068, ""finished_at"": 1777453856.598704, ""reach_time_sec"": null, ""distance_on_finish"": 0.7445849915649364, ""message"": ""timeout waiting for point""}]}",10:56.6,robot-a,5.482731428,"[{""ts"": 1778153201.1847265, ""value"": 92.0}, {""ts"": 1778153206.3928173, ""value"": 95.0}, {""ts"": 1778153211.5871942, ""value"": 97.0}, {""ts"": 1778153216.7745104, ""value"": 100.0}]","[{""ts"": 1778153201.1847265, ""value"": 100.0}, {""ts"": 1778153206.3928173, ""value"": 100.0}, {""ts"": 1778153211.5871942, ""value"": 100.0}, {""ts"": 1778153216.7745104, ""value"": 100.0}]","[{""ts"": 1778153201.1847265, ""value"": 85.3}, {""ts"": 1778153206.3928173, ""value"": 85.9}, {""ts"": 1778153211.5871942, ""value"": 86.5}, {""ts"": 1778153216.7745104, ""value"": 87.0}]","[{""ts"": 1778153201.1847265, ""value"": 48.0}, {""ts"": 1778153206.3928173, ""value"": 49.0}, {""ts"": 1778153211.5871942, ""value"": 51.0}, {""ts"": 1778153216.7745104, ""value"": 52.0}]"
2,patrol_0c6509fa,point_A,STOPPED,1777457551,1777457562,"{""mission_id"": ""patrol_0c6509fa"", ""robot_id"": ""robot-a"", ""route_name"": ""point_A"", ""points"": [""A""], ""wait_sec_per_point"": 0, ""max_retry_per_point"": 1, ""skip_on_fail"": true, ""status"": ""STOPPED"", ""current_index"": 0, ""started_at"": 1777457551.1112535, ""finished_at"": 1777457561.8299062, ""results"": [{""point"": ""A"", ""status"": ""ABORTED"", ""attempts"": 1, ""started_at"": 1777457551.8469481, ""finished_at"": 1777457561.8299062, ""reach_time_sec"": null, ""distance_on_finish"": 0.43435910477496514, ""message"": ""mission stopped""}]}",12:41.8,robot-a,6.193845271,"[{""ts"": 1778153230.2849176, ""value"": 97.0}, {""ts"": 1778153235.4619083, ""value"": 100.0}, {""ts"": 1778153240.7083521, ""value"": 97.0}, {""ts"": 1778153245.9934812, ""value"": 95.0}, {""ts"": 1778153251.1867445, ""value"": 100.0}]","[{""ts"": 1778152830.1049285, ""value"": 96.0}, {""ts"": 1778152835.3274168, ""value"": 96.0}, {""ts"": 1778152840.5819472, ""value"": 96.0}, {""ts"": 1778152845.8146391, ""value"": 95.0}, {""ts"": 1778152851.0473826, ""value"": 94.0}]","[{""ts"": 1778153230.2849176, ""value"": 85.9}, {""ts"": 1778153235.4619083, ""value"": 86.5}, {""ts"": 1778153240.7083521, ""value"": 87.0}, {""ts"": 1778153245.9934812, ""value"": 86.5}, {""ts"": 1778153251.1867445, ""value"": 87.5}]","[{""ts"": 1778153230.2849176, ""value"": 49.0}, {""ts"": 1778153235.4619083, ""value"": 50.0}, {""ts"": 1778153240.7083521, ""value"": 51.0}, {""ts"": 1778153245.9934812, ""value"": 52.0}, {""ts"": 1778153251.1867445, ""value"": 53.0}]"
3,patrol_47e97820,point_A,DONE,1777457576,1777457640,"{""mission_id"": ""patrol_47e97820"", ""robot_id"": ""robot-a"", ""route_name"": ""point_A"", ""points"": [""A""], ""wait_sec_per_point"": 0, ""max_retry_per_point"": 1, ""skip_on_fail"": true, ""status"": ""DONE"", ""current_index"": 0, ""started_at"": 1777457575.7553544, ""finished_at"": 1777457639.9757555, ""results"": [{""point"": ""A"", ""status"": ""SUCCESS"", ""attempts"": 1, ""started_at"": 1777457578.864976, ""finished_at"": 1777457639.9757555, ""reach_time_sec"": 61.11077952384949, ""distance_on_finish"": 0.1768914460715748, ""message"": ""reached""}]}",14:00.0,robot-a,4.875219634,"[{""ts"": 1778153268.1749024, ""value"": 100.0}, {""ts"": 1778153273.3926158, ""value"": 97.0}, {""ts"": 1778153278.5810263, ""value"": 100.0}]","[{""ts"": 1778153268.1749024, ""value"": 89.0}, {""ts"": 1778153273.3926158, ""value"": 89.0}, {""ts"": 1778153278.5810263, ""value"": 89.0}]","[{""ts"": 1778153268.1749024, ""value"": 86.5}, {""ts"": 1778153273.3926158, ""value"": 87.0}, {""ts"": 1778153278.5810263, ""value"": 87.5}]","[{""ts"": 1778153268.1749024, ""value"": 50.0}, {""ts"": 1778153273.3926158, ""value"": 51.0}, {""ts"": 1778153278.5810263, ""value"": 52.0}]"
4,patrol_73c531b4,point_E,DONE,1777627232,1777627474,"{""mission_id"": ""patrol_73c531b4"", ""robot_id"": ""robot-a"", ""route_name"": ""point_E"", ""points"": [""E""], ""wait_sec_per_point"": 0, ""max_retry_per_point"": 1, ""skip_on_fail"": true, ""status"": ""DONE"", ""current_index"": 0, ""started_at"": 1777627232.338444, ""finished_at"": 1777627473.5186248, ""results"": [{""point"": ""E"", ""status"": ""SKIPPED"", ""attempts"": 2, ""started_at"": 1777627352.817149, ""finished_at"": 1777627473.5186014, ""reach_time_sec"": null, ""distance_on_finish"": 1.7144058508154425, ""message"": ""timeout waiting for point""}]}",24:33.5,robot-a,7.264918357,"[{""ts"": 1778153291.6184738, ""value"": 95.0}, {""ts"": 1778153296.9125071, ""value"": 97.0}, {""ts"": 1778153302.1659837, ""value"": 100.0}, {""ts"": 1778153307.4391825, ""value"": 97.0}]","[{""ts"": 1778153291.6184738, ""value"": 87.0}, {""ts"": 1778153296.9125071, ""value"": 86.0}, {""ts"": 1778153302.1659837, ""value"": 86.0}, {""ts"": 1778153307.4391825, ""value"": 85.0}]","[{""ts"": 1778153291.6184738, ""value"": 85.9}, {""ts"": 1778153296.9125071, ""value"": 86.5}, {""ts"": 1778153302.1659837, ""value"": 87.0}, {""ts"": 1778153307.4391825, ""value"": 87.5}]","[{""ts"": 1778153291.6184738, ""value"": 49.0}, {""ts"": 1778153296.9125071, ""value"": 50.0}, {""ts"": 1778153302.1659837, ""value"": 51.0}, {""ts"": 1778153307.4391825, ""value"": 52.0}]"
5,patrol_1ee81e34,point_A,DONE,1777628751,1777628751,"{""mission_id"": ""patrol_1ee81e34"", ""robot_id"": ""robot-a"", ""route_name"": ""point_A"", ""points"": [""A""], ""wait_sec_per_point"": 0, ""max_retry_per_point"": 1, ""skip_on_fail"": true, ""status"": ""DONE"", ""current_index"": 0, ""started_at"": 1777628751.0508928, ""finished_at"": 1777628751.238343, ""results"": [{""point"": ""A"", ""status"": ""SUCCESS"", ""attempts"": 1, ""started_at"": 1777628751.1038108, ""finished_at"": 1777628751.2383237, ""reach_time_sec"": 0.13451290130615234, ""distance_on_finish"": 0.0606585427887504, ""message"": ""reached""}]}",45:51.2,robot-a,8.053176492,"[{""ts"": 1778153320.5371946, ""value"": 92.0}, {""ts"": 1778153325.7449083, ""value"": 95.0}, {""ts"": 1778153330.9984721, ""value"": 97.0}, {""ts"": 1778153336.2175638, ""value"": 100.0}, {""ts"": 1778153341.4289154, ""value"": 97.0}]","[{""ts"": 1778153320.5371946, ""value"": 80.0}, {""ts"": 1778153325.7449083, ""value"": 80.0}, {""ts"": 1778153330.9984721, ""value"": 80.0}, {""ts"": 1778153336.2175638, ""value"": 80.0}, {""ts"": 1778153341.4289154, ""value"": 79.0}]","[{""ts"": 1778153320.5371946, ""value"": 85.3}, {""ts"": 1778153325.7449083, ""value"": 85.9}, {""ts"": 1778153330.9984721, ""value"": 86.5}, {""ts"": 1778153336.2175638, ""value"": 87.0}, {""ts"": 1778153341.4289154, ""value"": 87.5}]","[{""ts"": 1778153320.5371946, ""value"": 48.0}, {""ts"": 1778153325.7449083, ""value"": 49.0}, {""ts"": 1778153330.9984721, ""value"": 50.0}, {""ts"": 1778153336.2175638, ""value"": 51.0}, {""ts"": 1778153341.4289154, ""value"": 52.0}]"
6,patrol_2e75819c,test_distance,FAILED,1777992073,1777992075,"{""mission_id"": ""patrol_2e75819c"", ""robot_id"": ""robot-a"", ""route_name"": ""test_distance"", ""points"": [""A""], ""wait_sec_per_point"": 0, ""max_retry_per_point"": 0, ""skip_on_fail"": true, ""status"": ""FAILED"", ""current_index"": 0, ""started_at"": 1777992073.3835073, ""finished_at"": 1777992075.389528, ""total_distance_m"": null, ""results"": []}",41:17.4,robot-a,5.731842615,"[{""ts"": 1778153358.6638214, ""value"": 100.0}, {""ts"": 1778153363.8725106, ""value"": 97.0}, {""ts"": 1778153369.1412835, ""value"": 95.0}, {""ts"": 1778153374.4067218, ""value"": 100.0}]","[{""ts"": 1778153358.6638214, ""value"": 73.0}, {""ts"": 1778153363.8725106, ""value"": 73.0}, {""ts"": 1778153369.1412835, ""value"": 72.0}, {""ts"": 1778153374.4067218, ""value"": 72.0}]","[{""ts"": 1778153358.6638214, ""value"": 85.9}, {""ts"": 1778153363.8725106, ""value"": 86.5}, {""ts"": 1778153369.1412835, ""value"": 87.0}, {""ts"": 1778153374.4067218, ""value"": 87.5}]","[{""ts"": 1778153358.6638214, ""value"": 49.0}, {""ts"": 1778153363.8725106, ""value"": 50.0}, {""ts"": 1778153369.1412835, ""value"": 51.0}, {""ts"": 1778153374.4067218, ""value"": 52.0}]"
7,patrol_ebf13530,voice_point_B,FAILED,1778063913,1778063918,"{""mission_id"": ""patrol_ebf13530"", ""robot_id"": ""robot-a"", ""route_name"": ""voice_point_B"", ""points"": [""B""], ""wait_sec_per_point"": 0, ""max_retry_per_point"": 1, ""skip_on_fail"": true, ""status"": ""FAILED"", ""current_index"": 0, ""started_at"": 1778063912.6192725, ""finished_at"": 1778063917.633181, ""total_distance_m"": 0.0, ""results"": []}",38:40.6,robot-a,9.148527384,"[{""ts"": 1778153389.8172647, ""value"": 97.0}, {""ts"": 1778153395.0048261, ""value"": 100.0}, {""ts"": 1778153400.2856372, ""value"": 97.0}]","[{""ts"": 1778153389.8172647, ""value"": 68.0}, {""ts"": 1778153395.0048261, ""value"": 68.0}, {""ts"": 1778153400.2856372, ""value"": 67.0}]","[{""ts"": 1778153389.8172647, ""value"": 86.5}, {""ts"": 1778153395.0048261, ""value"": 87.0}, {""ts"": 1778153400.2856372, ""value"": 87.5}]","[{""ts"": 1778153389.8172647, ""value"": 50.0}, {""ts"": 1778153395.0048261, ""value"": 51.0}, {""ts"": 1778153400.2856372, ""value"": 52.0}]"
8,patrol_0ce984fd,voice_point_A,FAILED,1778069567,1778069569,"{""mission_id"": ""patrol_0ce984fd"", ""robot_id"": ""robot-a"", ""route_name"": ""voice_point_A"", ""points"": [""A""], ""wait_sec_per_point"": 0, ""max_retry_per_point"": 1, ""skip_on_fail"": true, ""status"": ""FAILED"", ""current_index"": 0, ""started_at"": 1778069567.239841, ""finished_at"": 1778069569.3236027, ""total_distance_m"": null, ""results"": []}",12:51.4,robot-a,6.487315926,"[{""ts"": 1778153414.5391873, ""value"": 95.0}, {""ts"": 1778153419.7319248, ""value"": 97.0}, {""ts"": 1778153424.9841626, ""value"": 100.0}, {""ts"": 1778153430.2264915, ""value"": 97.0}]","[{""ts"": 1778153414.5391873, ""value"": 61.0}, {""ts"": 1778153419.7319248, ""value"": 60.0}, {""ts"": 1778153424.9841626, ""value"": 60.0}, {""ts"": 1778153430.2264915, ""value"": 59.0}]","[{""ts"": 1778153414.5391873, ""value"": 85.9}, {""ts"": 1778153419.7319248, ""value"": 86.5}, {""ts"": 1778153424.9841626, ""value"": 87.0}, {""ts"": 1778153430.2264915, ""value"": 87.5}]","[{""ts"": 1778153414.5391873, ""value"": 49.0}, {""ts"": 1778153419.7319248, ""value"": 50.0}, {""ts"": 1778153424.9841626, ""value"": 51.0}, {""ts"": 1778153430.2264915, ""value"": 52.0}]"
9,patrol_eccf10fd,voice_point_A,DONE,1778069838,1778069838,"{""mission_id"": ""patrol_eccf10fd"", ""robot_id"": ""robot-a"", ""route_name"": ""voice_point_A"", ""points"": [""A""], ""wait_sec_per_point"": 0, ""max_retry_per_point"": 1, ""skip_on_fail"": true, ""status"": ""DONE"", ""current_index"": 0, ""started_at"": 1778069837.8047948, ""finished_at"": 1778069837.85558, ""total_distance_m"": 0.0, ""results"": [{""point"": ""A"", ""status"": ""SKIPPED"", ""attempts"": 0, ""started_at"": null, ""finished_at"": null, ""reach_time_sec"": null, ""distance_on_finish"": null, ""message"": ""Point 'A' not found""}]}",17:17.9,robot-a,4.962781543,"[{""ts"": 1778153443.6618392, ""value"": 92.0}, {""ts"": 1778153448.9184627, ""value"": 95.0}, {""ts"": 1778153454.1967283, ""value"": 97.0}, {""ts"": 1778153459.4739184, ""value"": 100.0}]","[{""ts"": 1778153443.6618392, ""value"": 56.0}, {""ts"": 1778153448.9184627, ""value"": 55.0}, {""ts"": 1778153454.1967283, ""value"": 54.0}, {""ts"": 1778153459.4739184, ""value"": 53.0}]","[{""ts"": 1778153443.6618392, ""value"": 85.3}, {""ts"": 1778153448.9184627, ""value"": 85.9}, {""ts"": 1778153454.1967283, ""value"": 86.5}, {""ts"": 1778153459.4739184, ""value"": 87.0}]","[{""ts"": 1778153443.6618392, ""value"": 48.0}, {""ts"": 1778153448.9184627, ""value"": 49.0}, {""ts"": 1778153454.1967283, ""value"": 50.0}, {""ts"": 1778153459.4739184, ""value"": 51.0}]"
10,patrol_fdfe95af,voice_point_A,DONE,1778070135,1778070135,"{""mission_id"": ""patrol_fdfe95af"", ""robot_id"": ""robot-a"", ""route_name"": ""voice_point_A"", ""points"": [""A""], ""wait_sec_per_point"": 0, ""max_retry_per_point"": 1, ""skip_on_fail"": true, ""status"": ""DONE"", ""current_index"": 0, ""started_at"": 1778070134.7557275, ""finished_at"": 1778070134.7798913, ""total_distance_m"": 0.32947342725425327, ""results"": [{""point"": ""A"", ""status"": ""SKIPPED"", ""attempts"": 0, ""started_at"": null, ""finished_at"": null, ""reach_time_sec"": null, ""distance_on_finish"": null, ""message"": ""Point 'A' not found""}]}",22:14.8,robot-a,0.329473427,"[{""ts"": 1778153472.7846195, ""value"": 97.0}, {""ts"": 1778153477.9941732, ""value"": 100.0}, {""ts"": 1778153483.2816495, ""value"": 97.0}, {""ts"": 1778153488.5239186, ""value"": 95.0}]","[{""ts"": 1778153472.7846195, ""value"": 48.0}, {""ts"": 1778153477.9941732, ""value"": 47.0}, {""ts"": 1778153483.2816495, ""value"": 46.0}, {""ts"": 1778153488.5239186, ""value"": 46.0}]","[{""ts"": 1778153472.7846195, ""value"": 86.5}, {""ts"": 1778153477.9941732, ""value"": 87.0}, {""ts"": 1778153483.2816495, ""value"": 87.5}, {""ts"": 1778153488.5239186, ""value"": 87.0}]","[{""ts"": 1778153472.7846195, ""value"": 49.0}, {""ts"": 1778153477.9941732, ""value"": 50.0}, {""ts"": 1778153483.2816495, ""value"": 51.0}, {""ts"": 1778153488.5239186, ""value"": 52.0}]"
11,patrol_1be124ed,voice_point_A,DONE,1778075260,1778075260,"{""mission_id"": ""patrol_1be124ed"", ""robot_id"": ""robot-a"", ""route_name"": ""voice_point_A"", ""points"": [""A""], ""wait_sec_per_point"": 0, ""max_retry_per_point"": 1, ""skip_on_fail"": true, ""status"": ""DONE"", ""current_index"": 0, ""started_at"": 1778075259.5611782, ""finished_at"": 1778075259.61669, ""total_distance_m"": 0.4078778573115377, ""results"": [{""point"": ""A"", ""status"": ""SKIPPED"", ""attempts"": 0, ""started_at"": null, ""finished_at"": null, ""reach_time_sec"": null, ""distance_on_finish"": null, ""message"": ""Point 'A' not found""}]}",47:39.7,robot-a,0.407877857,"[{""ts"": 1778153501.7492164, ""value"": 100.0}, {""ts"": 1778153506.9817358, ""value"": 97.0}, {""ts"": 1778153512.2649187, ""value"": 95.0}, {""ts"": 1778153517.5073164, ""value"": 100.0}]","[{""ts"": 1778153501.7492164, ""value"": 42.0}, {""ts"": 1778153506.9817358, ""value"": 42.0}, {""ts"": 1778153512.2649187, ""value"": 42.0}, {""ts"": 1778153517.5073164, ""value"": 42.0}]","[{""ts"": 1778153501.7492164, ""value"": 85.9}, {""ts"": 1778153506.9817358, ""value"": 86.5}, {""ts"": 1778153512.2649187, ""value"": 87.0}, {""ts"": 1778153517.5073164, ""value"": 87.5}]","[{""ts"": 1778153501.7492164, ""value"": 48.0}, {""ts"": 1778153506.9817358, ""value"": 49.0}, {""ts"": 1778153512.2649187, ""value"": 50.0}, {""ts"": 1778153517.5073164, ""value"": 51.0}]"
12,patrol_06798f4f,voice_point_D,DONE,1778075334,1778075456,"{""mission_id"": ""patrol_06798f4f"", ""robot_id"": ""robot-a"", ""route_name"": ""voice_point_D"", ""points"": [""D""], ""wait_sec_per_point"": 0, ""max_retry_per_point"": 1, ""skip_on_fail"": true, ""status"": ""DONE"", ""current_index"": 0, ""started_at"": 1778075333.9661808, ""finished_at"": 1778075455.619719, ""total_distance_m"": 0.4629290967547256, ""results"": [{""point"": ""D"", ""status"": ""SKIPPED"", ""attempts"": 2, ""started_at"": 1778075454.2157264, ""finished_at"": 1778075455.619719, ""reach_time_sec"": null, ""distance_on_finish"": 1.309812826733482, ""message"": ""6: nav2_msgs.action.NavigateToPose_Result(result=std_msgs.msg.Empty())""}]}",50:55.7,robot-a,0.462929097,"[{""ts"": 1778153530.6428719, ""value"": 95.0}, {""ts"": 1778153535.8361942, ""value"": 97.0}, {""ts"": 1778153541.0739264, ""value"": 100.0}]","[{""ts"": 1778153530.6428719, ""value"": 39.0}, {""ts"": 1778153535.8361942, ""value"": 39.0}, {""ts"": 1778153541.0739264, ""value"": 38.0}]","[{""ts"": 1778153530.6428719, ""value"": 85.3}, {""ts"": 1778153535.8361942, ""value"": 85.9}, {""ts"": 1778153541.0739264, ""value"": 86.5}]","[{""ts"": 1778153530.6428719, ""value"": 47.0}, {""ts"": 1778153535.8361942, ""value"": 48.0}, {""ts"": 1778153541.0739264, ""value"": 49.0}]"
13,patrol_f2daf6d8,voice_point_A,DONE,1778076182,1778076182,"{""mission_id"": ""patrol_f2daf6d8"", ""robot_id"": ""robot-a"", ""route_name"": ""voice_point_A"", ""points"": [""A""], ""wait_sec_per_point"": 0, ""max_retry_per_point"": 1, ""skip_on_fail"": true, ""status"": ""DONE"", ""current_index"": 0, ""started_at"": 1778076182.215303, ""finished_at"": 1778076182.270947, ""total_distance_m"": 0.7912015301062738, ""results"": [{""point"": ""A"", ""status"": ""SKIPPED"", ""attempts"": 0, ""started_at"": null, ""finished_at"": null, ""reach_time_sec"": null, ""distance_on_finish"": null, ""message"": ""Point 'A' not found""}]}",03:02.3,robot-a,0.79120153,"[{""ts"": 1778153554.1847631, ""value"": 97.0}, {""ts"": 1778153559.4512874, ""value"": 100.0}, {""ts"": 1778153564.6983512, ""value"": 97.0}, {""ts"": 1778153569.9274186, ""value"": 95.0}]","[{""ts"": 1778153554.1847631, ""value"": 34.0}, {""ts"": 1778153559.4512874, ""value"": 34.0}, {""ts"": 1778153564.6983512, ""value"": 34.0}, {""ts"": 1778153569.9274186, ""value"": 33.0}]","[{""ts"": 1778153554.1847631, ""value"": 86.5}, {""ts"": 1778153559.4512874, ""value"": 87.0}, {""ts"": 1778153564.6983512, ""value"": 87.5}, {""ts"": 1778153569.9274186, ""value"": 87.0}]","[{""ts"": 1778153554.1847631, ""value"": 49.0}, {""ts"": 1778153559.4512874, ""value"": 50.0}, {""ts"": 1778153564.6983512, ""value"": 51.0}, {""ts"": 1778153569.9274186, ""value"": 52.0}]"
14,patrol_ad4e3cb6,voice_point_DIEM,DONE,1778076747,1778076747,"{""mission_id"": ""patrol_ad4e3cb6"", ""robot_id"": ""robot-a"", ""route_name"": ""voice_point_DIEM"", ""points"": [""DIEM""], ""wait_sec_per_point"": 0, ""max_retry_per_point"": 1, ""skip_on_fail"": true, ""status"": ""DONE"", ""current_index"": 0, ""started_at"": 1778076747.2786157, ""finished_at"": 1778076747.313486, ""total_distance_m"": 1.066614543276487, ""results"": [{""point"": ""DIEM"", ""status"": ""SKIPPED"", ""attempts"": 0, ""started_at"": null, ""finished_at"": null, ""reach_time_sec"": null, ""distance_on_finish"": null, ""message"": ""Point 'DIEM' not found""}]}",12:27.4,robot-a,1.066614543,"[{""ts"": 1778153583.0062947, ""value"": 92.0}, {""ts"": 1778153588.2147315, ""value"": 95.0}, {""ts"": 1778153593.4896251, ""value"": 97.0}, {""ts"": 1778153598.7183524, ""value"": 100.0}]","[{""ts"": 1778153583.0062947, ""value"": 27.0}, {""ts"": 1778153588.2147315, ""value"": 26.0}, {""ts"": 1778153593.4896251, ""value"": 26.0}, {""ts"": 1778153598.7183524, ""value"": 26.0}]","[{""ts"": 1778153583.0062947, ""value"": 85.3}, {""ts"": 1778153588.2147315, ""value"": 85.9}, {""ts"": 1778153593.4896251, ""value"": 86.5}, {""ts"": 1778153598.7183524, ""value"": 87.0}]","[{""ts"": 1778153583.0062947, ""value"": 48.0}, {""ts"": 1778153588.2147315, ""value"": 49.0}, {""ts"": 1778153593.4896251, ""value"": 50.0}, {""ts"": 1778153598.7183524, ""value"": 51.0}]"
15,patrol_ddc8cb8a,voice_point_D,FAILED,1778076981,1778076986,"{""mission_id"": ""patrol_ddc8cb8a"", ""robot_id"": ""robot-a"", ""route_name"": ""voice_point_D"", ""points"": [""D""], ""wait_sec_per_point"": 0, ""max_retry_per_point"": 1, ""skip_on_fail"": true, ""status"": ""FAILED"", ""current_index"": 0, ""started_at"": 1778076980.758078, ""finished_at"": 1778076985.7735643, ""total_distance_m"": null, ""results"": []}",16:30.8,robot-a,5.624913278,"[{""ts"": 1778153612.8837164, ""value"": 100.0}, {""ts"": 1778153618.1045827, ""value"": 97.0}, {""ts"": 1778153623.3729158, ""value"": 95.0}]","[{""ts"": 1778153612.8837164, ""value"": 20.0}, {""ts"": 1778153618.1045827, ""value"": 20.0}, {""ts"": 1778153623.3729158, ""value"": 20.0}]","[{""ts"": 1778153612.8837164, ""value"": 85.9}, {""ts"": 1778153618.1045827, ""value"": 86.5}, {""ts"": 1778153623.3729158, ""value"": 87.0}]","[{""ts"": 1778153612.8837164, ""value"": 47.0}, {""ts"": 1778153618.1045827, ""value"": 48.0}, {""ts"": 1778153623.3729158, ""value"": 49.0}]"
